Date,SPY_Price,QQQ_Price,VTI_Price,SPY_MA50,QQQ_MA50,VTI_MA50,Position_SPY,Position_QQQ,Position_VTI,Contribution,Cash,Shares_SPY,Shares_QQQ,Shares_VTI,Total_Invested,Portfolio_Value,Earnings,Daily_Return,Strategy,Portfolio_Type
2001-06-15,77.99559783935547,35.98102188110352,36.02766799926758,,,,1,1,1,0.0,0.0,42.73745474967538,92.64143037260233,92.52148469340557,10000,10000.0,0.0,,Buy & Hold,Equal
2001-06-18,77.61795043945312,35.49958038330078,35.79789352416992,,,,1,1,1,0.0,0.0,42.73745474967538,92.64143037260233,92.52148469340557,10000,9917.999806757482,-82.00019324251843,-0.00820001932425185,Buy & Hold,Equal
2001-06-19,77.95720672607422,35.322208404541016,35.898216247558594,,,,1,1,1,0.0,0.0,42.73745474967538,92.64143037260233,92.52148469340557,10000,9925.348770451576,-74.65122954842445,0.0007409723570559468,Buy & Hold,Equal
2001-06-20,78.36686706542969,36.124603271484375,36.2768440246582,,,,1,1,1,0.0,0.0,42.73745474967538,92.64143037260233,92.52148469340557,10000,10052.222822948204,52.22282294820434,0.012782830652192434,Buy & Hold,Equal
2001-06-21,79.25659942626953,36.614501953125,36.56808853149414,,,,1,1,1,0.0,0.0,42.73745474967538,92.64143037260233,92.52148469340557,10000,10162.579008245018,162.57900824501849,0.010978286816810456,Buy & Hold,Equal
2001-06-22,78.63573455810547,36.530033111572266,36.33509826660156,,,,1,1,1,0.0,0.0,42.73745474967538,92.64143037260233,92.52148469340557,10000,10106.662904505862,106.66290450586166,-0.005502156853471107,Buy & Hold,Equal
2001-06-25,77.91239166259766,36.6229362487793,36.101505279541016,,,,1,1,1,0.0,0.0,42.73745474967538,92.64143037260233,92.52148469340557,10000,10062.743379780748,62.743379780748,-0.004345601029745683,Buy & Hold,Equal
2001-06-26,77.80357360839844,36.74961853027344,36.0074348449707,,,,1,1,1,0.0,0.0,42.73745474967538,92.64143037260233,92.52148469340557,10000,10061.125264601744,61.125264601743766,-0.00016080258811479453,Buy & Hold,Equal
2001-06-27,77.75878143310547,36.986114501953125,36.010677337646484,,,,1,1,1,0.0,0.0,42.73745474967538,92.64143037260233,92.52148469340557,10000,10081.420286367256,81.42028636725627,0.0020171721583586155,Buy & Hold,Equal
2001-06-28,78.18763732910156,37.459110260009766,36.45187377929688,,,,1,1,1,0.0,0.0,42.73745474967538,92.64143037260233,92.52148469340557,10000,10184.387649226004,184.3876492260042,0.010213577049057898,Buy & Hold,Equal
2001-06-29,78.47566986083984,38.59935760498047,36.65950775146485,,,,1,1,1,500.0,0.0,44.86125524685132,96.95929152387605,97.06782688099283,10500,10821.542174912021,321.54217491202144,0.06256188861138257,Buy & Hold,Equal
2001-07-02,79.45499420166016,38.38818359375,36.75683975219727,,,,1,1,1,0.0,0.0,44.86125524685132,96.95929152387605,97.06782688099283,10500,10854.448417414931,354.4484174149311,0.0030408089689100137,Buy & Hold,Equal
2001-07-03,79.435791015625,38.54867172241211,36.73736572265625,,,,1,1,1,0.0,0.0,44.86125524685132,96.95929152387605,97.06782688099283,10500,10867.257451909561,367.2574519095615,0.0011800723539372449,Buy & Hold,Equal
2001-07-05,77.88678741455078,36.69893646240234,36.318878173828125,,,,1,1,1,0.0,0.0,44.86125524685132,96.95929152387605,97.06782688099283,10500,10577.7965087247,77.79650872469938,-0.026636061993175586,Buy & Hold,Equal
2001-07-06,76.20335388183594,35.17862701416016,35.36183547973633,,,,1,1,1,0.0,0.0,44.86125524685132,96.95929152387605,97.06782688099283,10500,10261.969385776032,-238.03061422396786,-0.02985755328987172,Buy & Hold,Equal
2001-07-09,76.61941528320312,35.48267364501953,35.58893585205078,,,,1,1,1,0.0,0.0,44.86125524685132,96.95929152387605,97.06782688099283,10500,10332.158708043904,-167.84129195609603,0.006839751672340855,Buy & Hold,Equal
2001-07-10,75.69764709472656,34.2072868347168,35.118534088134766,,,,1,1,1,0.0,0.0,44.86125524685132,96.95929152387605,97.06782688099283,10500,10121.485551532065,-378.5144484679349,-0.020390042629506167,Buy & Hold,Equal
2001-07-11,75.77447509765625,34.62961959838867,35.16394805908203,,,,1,1,1,0.0,0.0,44.86125524685132,96.95929152387605,97.06782688099283,10500,10170.289473204433,-329.7105267955667,0.004821814092792032,Buy & Hold,Equal
2001-07-12,77.57311248779297,36.82563018798828,35.997703552246094,,,,1,1,1,0.0,0.0,44.86125524685132,96.95929152387605,97.06782688099283,10500,10544.83306907792,44.8330690779203,0.03682723061721038,Buy & Hold,Equal
2001-07-13,78.24525451660156,36.445560455322266,36.16962814331055,,,,1,1,1,0.0,0.0,44.86125524685132,96.95929152387605,97.06782688099283,10500,10554.823258627503,54.82325862750258,0.0009474013940418136,Buy & Hold,Equal
2001-07-16,77.26591491699219,35.769859313964844,35.75112533569336,,,,1,1,1,500.0,0.0,47.0183081575134,101.61870785548008,101.72968479739998,11000,10904.750192849193,-95.2498071508071,0.03315327274056057,Buy & Hold,Equal
2001-07-17,77.9892349243164,36.572261810302734,36.17287826538086,,,,1,1,1,0.0,0.0,47.0183081575134,101.61870785548008,101.72968479739998,11000,11063.203373307415,63.20337330741495,0.014530656608908732,Buy & Hold,Equal
2001-07-18,77.45794677734375,35.17862701416016,35.79654693603516,,,,1,1,1,0.0,0.0,47.0183081575134,101.61870785548008,101.72968479739998,11000,10858.319668772452,-141.68033122754787,-0.018519383366782605,Buy & Hold,Equal
2001-07-19,78.13640594482422,36.01481628417969,35.997703552246094,,,,1,1,1,0.0,0.0,47.0183081575134,101.61870785548008,101.72968479739998,11000,10995.655743285392,-4.344256714608491,0.012648004360003018,Buy & Hold,Equal
2001-07-20,77.6691665649414,35.17862701416016,36.00094223022461,,,,1,1,1,0.0,0.0,47.0183081575134,101.61870785548008,101.72968479739998,11000,10889.043934686648,-110.95606531335216,-0.009695811790383368,Buy & Hold,Equal
2001-07-23,76.13931274414062,34.30021286010742,35.378055572509766,,,,1,1,1,0.0,0.0,47.0183081575134,101.61870785548008,101.72968479739998,11000,10664.483421653647,-335.5165783463526,-0.020622610614846604,Buy & Hold,Equal
2001-07-24,75.40324401855469,33.91169738769531,34.88819885253906,,,,1,1,1,0.0,0.0,47.0183081575134,101.61870785548008,101.72968479739998,11000,10540.56130548205,-459.43869451795035,-0.011620076779338517,Buy & Hold,Equal
2001-07-25,76.23533630371094,34.2072868347168,35.329383850097656,,,,1,1,1,0.0,0.0,47.0183081575134,101.61870785548008,101.72968479739998,11000,10654.603905362033,-345.3960946379666,0.0108194048281538,Buy & Hold,Equal
