Date,SPY_Price,QQQ_Price,VTI_Price,SPY_MA50,QQQ_MA50,VTI_MA50,Position_SPY,Position_QQQ,Position_VTI,Shares_SPY,Shares_QQQ,Shares_VTI,Cash,Contribution,Total_Invested,Portfolio_Value,Earnings,Daily_Return,Strategy,Portfolio_Type
2001-06-15,77.99559783935547,35.98102188110352,36.02766799926758,,,,1,0,0,128.21236424902614,0,0,0.0,0,10000,10000.0,0.0,0.0,Timing,Single
2001-06-18,77.61795043945312,35.49958038330078,35.79789352416992,,,,1,0,0,128.21236424902614,0,0,0.0,0,10000,9951.580934006022,-48.41906599397771,-0.004841906599397771,Timing,Single
2001-06-19,77.95720672607422,35.322208404541016,35.898216247558594,,,,1,0,0,128.21236424902614,0,0,0.0,0,10000,9995.077784600058,-4.922215399941706,0.0043708482986256824,Timing,Single
2001-06-20,78.36686706542969,36.124603271484375,36.2768440246582,,,,1,0,0,128.21236424902614,0,0,0.0,0,10000,10047.601305247881,47.6013052478811,0.0052549386587814806,Timing,Single
2001-06-21,79.25659942626953,36.614501953125,36.56808853149414,,,,1,0,0,128.21236424902614,0,0,0.0,0,10000,10161.675994780026,161.67599478002558,0.011353425167513668,Timing,Single
2001-06-22,78.63573455810547,36.530033111572266,36.33509826660156,,,,1,0,0,128.21236424902614,0,0,0.0,0,10000,10082.07344215355,82.07344215355079,-0.007833604679716812,Timing,Single
2001-06-25,77.91239166259766,36.6229362487793,36.101505279541016,,,,1,0,0,128.21236424902614,0,0,0.0,0,10000,9989.331939357759,-10.668060642241471,-0.009198653761837951,Timing,Single
2001-06-26,77.80357360839844,36.74961853027344,36.0074348449707,,,,1,0,0,128.21236424902614,0,0,0.0,0,10000,9975.380119355897,-24.619880644102523,-0.0013966719783223113,Timing,Single
2001-06-27,77.75878143310547,36.986114501953125,36.010677337646484,,,,1,0,0,128.21236424902614,0,0,0.0,0,10000,9969.637208661728,-30.362791338271563,-0.0005757084567660421,Timing,Single
2001-06-28,78.18763732910156,37.459110260009766,36.45187377929688,,,,1,0,0,128.21236424902614,0,0,0.0,0,10000,10024.621837009523,24.621837009523006,0.005515208547410665,Timing,Single
2001-06-29,78.47566986083984,38.59935760498047,36.65950775146485,,,,1,0,0,134.58376574055396,0,0,0.0,500,10500,10561.55116888432,61.55116888431985,0.05356105602832096,Timing,Single
2001-07-02,79.45499420166016,38.38818359375,36.75683975219727,,,,1,0,0,134.58376574055396,0,0,0.0,0,10500,10693.352326553304,193.352326553304,0.012479337131584159,Timing,Single
2001-07-03,79.435791015625,38.54867172241211,36.73736572265625,,,,1,0,0,134.58376574055396,0,0,0.0,0,10500,10690.767889462475,190.76788946247507,-0.00024168633108734026,Timing,Single
2001-07-05,77.88678741455078,36.69893646240234,36.318878173828125,,,,1,0,0,134.58376574055396,0,0,0.0,0,10500,10482.297151684228,-17.702848315771917,-0.01950007145732997,Timing,Single
2001-07-06,76.20335388183594,35.17862701416016,35.36183547973633,,,,1,0,0,134.58376574055396,0,0,0.0,0,10500,10255.734327477541,-244.26567252245877,-0.02161385247224023,Timing,Single
2001-07-09,76.61941528320312,35.48267364501953,35.58893585205078,,,,1,0,0,134.58376574055396,0,0,0.0,0,10500,10311.72943765283,-188.2705623471702,0.005459883065151602,Timing,Single
2001-07-10,75.69764709472656,34.2072868347168,35.118534088134766,,,,1,0,0,134.58376574055396,0,0,0.0,0,10500,10187.674403707804,-312.32559629219577,-0.012030477980933443,Timing,Single
2001-07-11,75.77447509765625,34.62961959838867,35.16394805908203,,,,1,0,0,134.58376574055396,0,0,0.0,0,10500,10198.01420565641,-301.9857943435909,0.0010149325095079307,Timing,Single
